study_id,figure,panel,series,observer_type,recon,dose_label,dose_value,dose_unit,diameter_mm,y_value,y_err_low,y_err_high,pass_id,extractor,method,notes
CAND-04,Fig6,b,human_task1,human,,0.34 mGy,0.342,mGy,3.2,0.8614,0.0951,0.0561,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,0.35 mGy,0.348,mGy,3.2,0.928,0.0585,0.0398,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,0.66 mGy,0.664,mGy,3.2,0.989,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,0.68 mGy,0.675,mGy,3.2,0.9996,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,0.68 mGy,0.681,mGy,3.2,0.9817,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",narrow_occluded_uncertain
CAND-04,Fig6,b,human_task1,human,,0.68 mGy,0.681,mGy,3.2,0.976,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",narrow_occluded_uncertain
CAND-04,Fig6,b,human_task1,human,,0.68 mGy,0.681,mGy,3.2,0.9598,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",narrow_occluded_uncertain
CAND-04,Fig6,b,human_task1,human,,0.70 mGy,0.699,mGy,3.2,0.9671,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,0.80 mGy,0.804,mGy,3.2,0.989,0.0472,0.0106,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,0.83 mGy,0.833,mGy,3.2,0.9329,0.0797,0.039,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,1.11 mGy,1.11,mGy,3.2,0.998,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,1.13 mGy,1.13,mGy,3.2,0.989,0.0577,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,1.32 mGy,1.322,mGy,3.2,0.9996,0.0236,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,1.35 mGy,1.345,mGy,3.2,0.9671,0.0683,0.0236,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,1.60 mGy,1.602,mGy,3.2,0.9996,0.048,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,1.70 mGy,1.702,mGy,3.2,0.9996,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,1.75 mGy,1.748,mGy,3.2,0.989,0.0577,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,2.10 mGy,2.099,mGy,3.2,0.9833,0.0602,0.0106,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,2.23 mGy,2.231,mGy,3.2,0.9996,0.0089,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,2.68 mGy,2.679,mGy,3.2,0.9996,0.048,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,3.33 mGy,3.332,mGy,3.2,0.989,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,3.45 mGy,3.45,mGy,3.2,0.9996,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,4.00 mGy,4.002,mGy,3.2,0.9996,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,4.18 mGy,4.18,mGy,3.2,0.989,0.0577,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,5.38 mGy,5.383,mGy,3.2,0.998,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,5.43 mGy,5.431,mGy,3.2,0.9907,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,6.24 mGy,6.244,mGy,3.2,0.9996,0.048,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,6.75 mGy,6.754,mGy,3.2,0.9996,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,8.18 mGy,8.182,mGy,3.2,1.0004,0.0488,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,9.91 mGy,9.913,mGy,3.2,0.9996,0.048,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,b,human_task1,human,,10.82 mGy,10.817,mGy,3.2,0.9996,0.048,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
